,Name,x,y
0,JAMMU & KASHMIR,-88.0,184.0
1,HIMACHAL PRADESH,-74.0,135.0
2,PUNJAB,-99.0,119.0
3,HARYANA,-87.0,91.0
4,DELHI,-73.0,82.0
5,UTTARAKHAND,-43.0,111.0
6,UTTAR PRADESH,-27.0,59.0
7,RAJASTHAN,-121.0,57.0
8,MADHYA PRADESH,-65.0,-4.0
9,GUJARAT,-153.0,-6.0
10,BIHAR,49.0,39.0
11,JHARKHAND,38.0,1.0
12,WEST BENGAL,74.0,-2.0
13,CHHATTISGARH,-6.0,-25.0
14,ODISHA,29.0,-41.0
15,MAHARASHTRA,-103.0,-61.0
16,KARNATAKA,-97.0,-135.0
17,GOA,-117.0,-121.0
18,KERALA,-85.0,-191.0
19,TAMIL NADU,-59.0,-183.0
20,ANDHRA PRADESH,-43.0,-122.0
21,TELANGANA,-49.0,-83.0
22,SIKKIM,86.0,67.0
23,ASSAM,148.0,49.0
24,MEGHALAYA,118.0,33.0
25,TRIPURA,129.0,3.0
26,MIZORAM,146.0,-3.0
27,MANIPUR,162.0,19.0
28,NARAGALAND,174.0,41.0
29,ARUNACHAL PRADESH,173.0,81.0
